iter	Passed	Remaining
444	1177	1468
445	1178	1463
446	1180	1460
447	1183	1458
448	1185	1454
449	1186	1450
450	1188	1446
451	1189	1442
452	1191	1438
453	1193	1434
454	1194	1430
455	1196	1427
456	1198	1424
457	1200	1420
458	1201	1415
459	1202	1411
460	1203	1407
461	1205	1403
462	1206	1399
463	1207	1395
464	1209	1391
465	1212	1388
466	1213	1384
467	1214	1381
468	1216	1376
469	1217	1372
470	1218	1368
471	1219	1364
472	1221	1360
473	1222	1356
474	1223	1352
475	1224	1348
476	1228	1346
477	1229	1342
478	1230	1338
479	1231	1334
480	1233	1330
481	1234	1326
482	1235	1322
483	1236	1318
484	1238	1314
485	1239	1310
486	1242	1309
487	1244	1305
488	1245	1301
489	1246	1297
490	1247	1293
491	1249	1289
492	1250	1286
493	1251	1282
494	1252	1278
495	1254	1274
496	1255	1270
497	1257	1267
498	1259	1264
499	1260	1260
500	1261	1256
501	1263	1253
502	1264	1249
503	1266	1245
504	1267	1242
505	1268	1238
506	1271	1236
507	1273	1233
508	1275	1230
509	1276	1226
510	1278	1223
511	1279	1219
512	1281	1216
513	1282	1212
514	1283	1209
515	1285	1205
516	1287	1202
517	1288	1199
518	1290	1195
519	1291	1192
520	1293	1188
521	1294	1185
522	1295	1181
523	1324	1202
524	1327	1201
525	1391	1254
526	1394	1251
527	1413	1263
528	1419	1263
529	1421	1260
530	1424	1258
531	1427	1255
532	1429	1252
533	1433	1250
534	1435	1247
535	1438	1245
536	1442	1243
537	1444	1240
538	1448	1238
539	1450	1235
540	1452	1232
541	1455	1230
542	1458	1227
543	1460	1223
544	1461	1220
545	1464	1217
546	1467	1215
547	1469	1211
548	1478	1214
549	1480	1211
550	1482	1208
551	1487	1207
552	1490	1205
553	1493	1202
554	1498	1201
555	1502	1200
556	1504	1196
557	1507	1194
558	1509	1191
559	1512	1188
560	1514	1184
561	1519	1184
562	1522	1181
563	1526	1179
564	1530	1178
565	1534	1176
566	1538	1174
567	1541	1172
568	1549	1173
569	1551	1170
570	1553	1167
571	1556	1164
572	1566	1167
573	1568	1164
574	1572	1162
575	1574	1158
576	1579	1157
577	1584	1156
578	1586	1153
579	1588	1150
580	1590	1147
581	1592	1143
582	1594	1140
583	1599	1139
584	1604	1138
585	1607	1135
586	1611	1133
587	1613	1130
588	1615	1127
589	1619	1125
590	1627	1126
